sentence_id	sentence	label
AFP_696-eurl_03_019	ويؤكد أبو ناجي مبتسما، بأنه يطمح - هو ومساعدوه- إلى نشر الإسلام في ألمانيا، ويأمل في أن يعتنق الألمان الإسلام، وساعتها ستظهر دولة الإسلام بشكل طبيعي، ولكن إلى حين ذلك على المسلمين أن يعيشوا هناك دون حكم الشريعة، خصوصا وأن صورتها ومعانيها تشوه بشكل كبير من طرف وسائل الإعلام، فتبدو وكأنها منهج سلطوي.	OBJ
FAT_290-eurl_02_039	ويعرف بن يوسف في الأعمال التي أداها بأدوار تتعلق في الغالب بالتطرف والإسلام.	OBJ
MIS_702-curl_06_010	وانخفضت درجات الحرارة وقتها بما يصل إلى درجتين مئويتين (35.6 درجة فهرنهايت) على مدى 20 عامًا، مما أدى إلى تدمير إنتاج الغذاء في العالم.	OBJ
AFP_29-eurl_02_019	"وتعتزم ""أوكسفام"" بفرعها الفرنسي وجمعية ""نوتر أفير آ توس"" أن تحذو حذوهما، في سياق أول إجراء قضائي بهذا الحجم يتّخذ في فرنسا بشأن المناخ."	OBJ
MIS_1486-eurl_02_009	منتخب هولندا يتجاوز نظيره السنغالي بثنائية نظيفة تخطى منتخب هولندا نظيره منتخب السنغال (2-0) لحساب المجموعة الأولى من منافسات كأس العالم FIFA قطر 2022™ على أرضية ملعب الثمامة الإثنين.	OBJ
AFP_345-eurl_01_015	"وقال الوزير ""سنلبي أولا حاجيات مواطنينا وبعد ذلك حاجيات كل أصدقائنا بما في وسعنا""."	OBJ
AFP_674-eurl_03_011	ثم اعقتل سنة 1979 مرة أخرى وبقي في السجن لمدة سنة ثم أفرج عنه.	OBJ
MIS_239-curl_05_005	وأوضح أنه تم الاطلاع على منطقه العزل في معبر رفح والمرافق الأخرى المتعلقة بهذا الموضوع، لتقييم جهوزيتها، لحماية أبناء الشعب الفلسطيني والحيلولة دون وصول هذا الفيروس إلى فلسطين، لافتا إلى وجود 5 مواطنين في منطقة العزل للقادمين إلى قطاع غزة عبر معبر رفح.	OBJ
AFP_584-eurl_02_022	ونددت منظمة العفو الدولية مرارا خلال الأشهر الأخيرة بالتوقيفات التعسفية والمكثفة بحق المعارضين السياسيين لنظام السيسي.	OBJ
MIS_2120-curl_04_003	وقال إن الحسابات أزيلت من على الشبكة الاجتماعية.	OBJ
MIS_239-curl_04_034	"وتابع ""تم إبلاغ منظمة الصحة العالمية، كما تم اتخاذ إجراءات وتدابير وقائية للحالة بالتعاون معها""."	OBJ
AFP_887-eurl_01_019	وقال المتحدث الأمني في وزارة الداخلية إن التحقيقات الأمنية ما زالت جارية للتثبت من علاقة الخلية التي خططت لمحاولة استهداف المصلين بمسجد الدمام، بالخلية التي استهدفت المصلين في مسجد القديح، مؤكدا أن التنظيمات الإرهابية تستدرج صغار السن، نتيجة ضعف المعلومات الشرعية التي يمتلكونها، وبالتالي يصبحون أدوات لتنفيذ مخططاتهم الإرهابية.	OBJ
AFP_614-eurl_08_014	وانتقد نافعة كذلك القبضة الحديد التي يقود بها السيسي البلاد.	OBJ
MIS_561-curl_02_013	"واحتلت إسرائيل المرتبة 88 في القائمة، فيما دئب رئيس الوزراء بنامين نتانياهو وداعموه على مهاجمة المؤسسات الخبرية واتهامها ببث أخبار كاذبة ودعاية يسارية، إلى درجة أن أحد الصحفيين الإسرائيليين الذي كشف عن قصة فضيحة الفساد، أجبر على طلب حارس شخصي يحميه ويحفظ سلامته، والكلام دائما لتقرير ""مراسلون بلا حدود""."	OBJ
AFP_637-eurl_01_007	"أضافت والدة الشهيد لـ""الوطن"": ""في يوم الجنازة وقفت إحدى السيدات بجواري وقالت لي: أنتي متعرفنيش بس أنا اعرف الشهيد، أنا كنت بجهز عرايس يتامى، وكان خالد الله يرحمه بييجي كل شهر يديني مبلغ كبير أجيب به حاجه في جهازهم، وفي إحدى المرات طلبت منه مساعدة سيدة مسنة تركها أبنائها ومحدش بيسال عنها، أخذ عنوانها وذهب إليها وقال لها: يا أمي اعتبريني ابنك، ومن اليوم أنتي مسؤولة مني، وكل إجازة يأتي فيها كان يحضر لها احتياجاتها الشهرية من مأكل وملبس وعلاج""."	OBJ
AFP_425-eurl_04_011	وكلمة الملكة في الظروف الاستثنائية هي الأولى منذ وفاة والدتها في 2002.	OBJ
MIS_1280-curl_01_002	بعد تحويلها إلى مسجد، شارك الرئيس التركي رجب طيب أردوغان الجمعة بأول صلاة للمسلمين في كنيسة آيا صوفيا السابقة في إسطنبول.	OBJ
AFP_887-eurl_01_011	وأكد المتحدث الأمني في وزارة الداخلية أن الجهات الأمنية ستواصل جهودها في ملاحقة وتعقب كل من له صلة بهذا العمل الإجرامي ممن سلموا عقولهم لشعارات وإملاءات جهات لا تريد الخير بالوطن والمواطنين وتسعى إلى نقض عرى الأخوة والقربى التي سادت مجتمعنا منذ عهد المؤسس الملك عبد العزيز.	OBJ
FAT_1118-eurl_02_003	وتسلم محمد حاجي الخوري المدير العام لمؤسسة خليفة الإنسانية شيك التبرع من عواطف عبدالرحيم الهرمودي مدير عام الجودة التشغيلية والعمليات في «الإمارات الإسلامي».	OBJ
MIS_1585-eurl_02_015	ويعدّ حزب الله لاعبا رئيسيا والطرف السياسي الأقوى في لبنان، وشكّل موضوع نزع سلاحه عنوانا خلافيا بين القوى السياسية.	SUBJ
MIS_6-eurl_03_003	ونال التيفو إشادة كبيرة من مختلف وسائل الإعلام العربية والعالمية، خصوصا في ظل حرص القائمين عليه من جماهير الاتحاد على إيصاله بأكثر من لغة عالمية ليصل صداه لأكبر شريحة ممكنة حول العالم.	OBJ
MIS_774-curl_02_006	ولجأ المواطنون في اليابان إلى العمل من المنازل في ظل الإغلاق التام؛ بعد إقفال المدارس وكثير من الشركات أبوابها.	OBJ
AFP_587-curl_03_010	صورة هذا الصباح لنفق الرويسو الجزائر العاصمة.	OBJ
AFP_588-eurl_01_002	تلقى اللواء طارق حسونة مدير أمن الغربية، إخطارا من اللواء السعيد شكرى مدير المباحث الجنائية، بضبط متسول بعد افتراشه منتصف الطريق السريع بزفتى، وعثر بحوزته على 500 جنيه وتم اتخاذ الإجراءات القانونية حياله.	OBJ
AFP_696-eurl_03_023	ويؤكد أبو ناجي بكل فخر بأن دار النشر تمكنت منذ عام 2011 من توزيع أكثر من 1.6 مليون نسخة من القران باللغة الألمانية في ألمانيا وحدها، وتم تمويلها من التبرعات.	OBJ
MIS_702-curl_06_006	قد تكون خطرة على الوجود ككل.	SUBJ
MIS_702-curl_02_015	وإن أكثرها شيوعاً اليوم هو الاحترار الذي يسببه الإنسان، أي انبعاثات الغازات الدفيئة».	OBJ
MIS_2120-curl_04_013	ويشتبه بأن إسرائيل ردت بعدها بأسبوعين بشن هجوم إلكتروني على ميناء إيراني.	OBJ
FAT_1062-eurl_02_001	"عرضت الدكتورة هالة زايد، وزيرة الصحة والسكان، مستجدات استخدام بلازما المتعافين لعلاج الحالات الحرجة وشديدة الخطورة من مصابي ""كوفيد 19"" على الاجتماع الأسبوعي لمجلس الوزراء اليوم برئاسة الدكتور مصطفى مدبولي، رئيس مجلس الوزراء."	OBJ
FAT_1352-curl_03_001	نشبَّ حريق هائل بسيارة نقل ثقيل بمقطورة بالطريق الدائرى الإقليمى بالعاشر من رمضان، بمحافظة الشرقية.	OBJ
MIS_2585-eurl_01_011	- عند مشاهدتك عرض إجراءات الطوارئ انتبه جيدا واسأل أفراد الطاقم أو المضيفين إذا كان هناك شيء غير واضح، واستفسر منهم عن مكان أقرب مخرج طوارئ من كرسيك.	OBJ
FAT_1131-eurl_04_005	وتابع رئيس شركة أنابيب البترول، أن سيارات قطاع البترول والحماية المدنية والقوات المسلحة قامت بعمليات الإطفاء والسيطرة والتبريد، لافتا أنهم الآن في المراحل الاخيرة للتبريد، مضيفا أنه فور الحصول على السماح من الجهات سيتم إصلاح الخط.	OBJ
MIS_1466-eurl_04_009	وفي اليوم الثالث، اقتحموا المنزل مجددا واعتقلوا زوجي واقتادوه للتحقيق وسلموه أمرا بالإبعاد عن مدينة القدس بشكل نهائي.	OBJ
FAT_108-eurl_02_003	وانقطعت امدادات الماء والكهرباء وخطوط الهاتف وتضرر مئات الالاف من السكان، ويقول شهود عيان إن الناس تسير فى الشوارع هائمة على وجهها، بعضهم فى حالة ذهول وآخرون يبكون نتيجة الدمار الذي لحق بمنازلهم.	OBJ
MIS_403-curl_07_003	وناشد الأهالى بالإبلاغ عن القادمين من خارج سوريا عبر منافذ غير شرعية إلى المحافظة، لإجراء الفحوصات اللازمة حرصا على سلامتهم وسلامة جميع المواطنين.	OBJ
MIS_973-curl_02_008	"وقال المتحدث باسم حملة ترامب، تيم مورتو إن ""المثلث الأحمر المقلوب رمز تستخدمه أنتيفا، لذا كان موجوداً فى إعلان عن أنتيفا، وهى الحركة التى يسعى ترامب لتصنيفها على قوائم الإرهاب."	OBJ
MIS_774-curl_02_011	وستشمل الإعانات نصف تكلفة تذكرة الطائرة، بالإضافة إلى ليلة في الفندق ورسوم دخول للمواقع السياحية.	OBJ
MIS_1869-curl_06_062	بروست ع كيفك بيرزيت : ازكا بروست فيكي يا بلد جربونا مره ورح تزورونا كل مره	OBJ
MIS_561-curl_02_007	فيما جاءت إيران في المرتبة 173.	OBJ
AFP_696-eurl_03_026	"، ولا توجد علاقات تربط بين كل السلفيين ودار النشر ""اقرأ""."	OBJ
MIS_560-curl_04_014	المعجزات تتحدث عنها المعاهد الدولية والإقليمية.	SUBJ
MIS_876-curl_02_001	خلفت الصورة التي إلتقطها صحفي امريكي من جريدة نيويورك تايمز يدعى مايكل مولنر بكاميرا بعيدة المدى لاوباما وهو يغادر من الطائرة لتداولتها وسائل الاعلام جدلا كبيرا داخل أوساط المهتمين بعدما تم التركيز على الكتاب الذي كان بيد الرئيس الأمريكي.	OBJ
AFP_427-curl_02_020	"وتوجه رسالة للعالم تدعوه إلى عدم الاستسلام للخوف""."	OBJ
MIS_641-curl_09_001	"وجه الدكتور محمود الجرايحى مدير مستشفى الحميات ببورسعيد المختص بفحص الحالات المشتبه فى إصابتها بفيروس كورونا المستجد، رسالة للمواطنين في بورسعيد، بضرورة التواجد بالمنزل والخروج للضرورة فقط، واتخاذ الإجراءات الاحترازية والوقائية ولكن من خلال قصة ساخرة استعرضها على صفحته بـ ""الفيس بوك""، بعنوان ""خليك فى البيت يا دانيال اعمل معروف""."	OBJ
MIS_876-curl_02_005	المؤلف اسمه فريد رفيق زكريا ولد فاطمة زكريا وهو رجل مسلم من الهند يعمل محررا في النيوزويك، ويقول أحد المواقع بأن الكتاب هو عبارة عن رؤية مسلمة لعالم ما بعد امريكا.	OBJ
AFP_345-eurl_01_013	"وأوضح الوزير أن ""5 ملايين كمامة نفذت في البداية خلال ساعة ونصف بسبب الإفراط في اقتنائها بغرض تخزينها، لكن وتيرة الشراء صارت أكثر عقلانية عندما لاحظ المواطنون أنها متوفرة بما يكفي""."	OBJ
FAT_1074-eurl_03_001	"استغلت إحدى الصفحات المجهولة على موقع التواصل الاجتماعى ""فيس بوك"" لوجو ""اليوم السابع""، لنشر أخبار مزيفة ومفبركة عن الدكتور على عبد العال، رئيس مجلس النواب ليس لها أى أساس من الصحة، حيث قامت بنشر صورة مزعومة لرئيس البرلمان وادعت أن"" مصر كانت في طريقها لاكتشاف علاج لفيروس كورونا لولا أزمة كورونا""."	OBJ
AFP_556-eurl_01_007	الإمام الأكبر يصل كازاخستان في مستهل جولته الخارجية	OBJ
MIS_239-curl_04_028	"وتخضع المصابة حاليا للحجر الصحي بإحدى مستشفيات الدار البيضاء (شمال)، حيث سيتم التكفل بها وفقا للإجراءات الصحية المعتمدة"" وفق البيان."	OBJ
MIS_1027-eurl_01_038	■ وهل هناك قرارات قد يُصدرها مجلس الأمن تضمن عدم التأثير على حصة مصر المائية فى نهر النيل؟	SUBJ
MIS_855-eurl_01_037	ومن اللافت للنظر أن ما حدث في الأزمة من استغلال للذباب الإلكتروني ومن اختراقات سبرانية تقف وراءها دول الأزمة وجد مكانه في الصفحات الأولى من الإعلام العالمي، إذ إنها تداخلت مع عدد من الملفات السياسية في تلك الدول.	SUBJ
MIS_2043-eurl_02_020	أطاح رفض الفرنسيين لمشروع الدستور الموحد بآمال السياسيين من أجل خلق أوروبا تتحدث بصوت واحد، ولها حضور قوي على الساحة الدولية.	OBJ
MIS_1046-curl_02_005	وأشارت مصادر ليبية إلى جهود تقودها الولايات المتحدة الأمريكية وعدد من الدول المعنية بالاستقرار في ليبيا لإعادة استئناف النفط مقابل حل الميليشيات المسلحة وتطبيق مبدأ الشفافية على كافة مصروفات الدولة الليبية وتحجيم دور محافظ مصرف ليبيا المركزى في طرابلس – انتهت ولايته قانونيا – الصديق الكبير.	OBJ
MIS_239-curl_04_011	اربع اصابات بفيروس كورونا في أحد فنادق بيت جالا.	OBJ
FAT_471-eurl_05_001	الدكتور سامي الخيمي واللواء بهجت سليمان سفيران للأسد في حرب لفظية طاحنة.	SUBJ
AFP_907-eurl_01_004	وكان التليفزيون الصيني الرسمي أفاد بأن المسؤولين أجروا «مسحات شرجية» لمواطني الدولة ممن ظهرت لديهم حالات إصابة مؤكدة بفيروس كورونا في بكين الأسبوع الماضي، وبحسب تصريحات التليفزيون الصيني خضع المصابون في مرافق الحجر الصحي المخصصة للاختبارات نفسها.	OBJ
AFP_916-eurl_01_001	كرم الرئيس عبد الفتاح السيسي، الأمهات المثاليات على مستوى الجمهورية فى احتفالية المرأة المصرية.	OBJ
MIS_855-eurl_01_041	- تبقى المساعي قائمة وإن جد جديد في الأمر فسيتم إعلانه في حينه.	OBJ
MIS_561-curl_03_002	وجاءت كل من بيلاروسيا وبروناي في المرتبتين السابقتين لتركيا في حين جاءت كل من رواندا وأوزباكستان في المرتبتين التاليتين لتركيا.	OBJ
MIS_561-curl_01_005	"وتستغل بعض الحكومات أزمة كورونا من أجل فرض تدابير تجعل من العمل الصحفي صعبا، في الوقت الذي من المستحيل حصول احتجاجات أو اعتراض عليها بسبب انشغال الجميع بالجائحة، حيث ""أن الوباء هو فرصة للدول الأسوأ تقييما في التصنيف لتطبيق عقيدة الصدمة التي وضعتها نعومي كلاين"" موضحا ""أنها تستغل ذهول الجمهور وضعف التعبئة لفرض تدابير يستحيل اعتمادها في الأوقات العادية""، وفق ديلوار."	OBJ
AFP_973-eurl_03_007	وتأخذ هذه الاحزاب الثلاثة التي توحدت مؤخرا في الاندلس (جنوب) وتشير استطلاعات الى أنه بامكانها تشكيل غالبية لحكم البلاد، على سانشيز حواره مع القادة الانفصاليين الكاتالونيين.	OBJ
FAT_1414-eurl_03_012	بينما كان الرئيس يختتم تصريحاته، كان هناك نوع مختلف من الدراما تجري داخل مبنى الكابيتول نفسه، حيث كان يتأهب مجلسا الشيوخ والنواب لقد جلسة للمصادقة على نتائج الإنتخابات في كل ولاية على حدة.	OBJ
MIS_1157-eurl_04_040	تعذيب الأسير أو الأسيرة لا يقتصر على فترة التحقيق، بل إنّ أساليبه المختلفة تلاحق الأسرى مدة اعتقالهم	OBJ
FAT_489-curl_02_003	وأضاف ادعيس أن الاحتلال يعمل بشكل يومي للسيطرة على الاماكن الدينية الاسلامية بشكل مدروس وممنهج، وبما يؤدي من خلال تكراره إلى تكريسه والتعامل معه كأمر واقع لا يمكن تغييره، مضيفاً بأن الشعب الفلسطيني بوعيه وصموده سيفشل كل قرارات وممارسات وانتهاكات هذا الاحتلال وسيرد هجماته كافة على مقدسات وأوقاف ومقدرات الشعب الفلسطيني في وطنه بكافة السبل التي تحفظ حقه.	OBJ
AFP_29-eurl_02_016	منظمات غير حكومية مهتمة بالبيئة تقاضي باريس	SUBJ
MIS_2664-eurl_01_003	هذه المتسوله ايتها المرأه ليست بحاجه الى هيك نصيحه , او حسنه ,لانك بذالك ستقطعين الحرث والنسل , وهي لاتقل عنك بمعرفة مصلحتها وخططها المستقبليه ,فهي تقرأ الحاظر والقادم بالاستشعار عن بعد , فهذه الكوكبه من الاشبال هم الذين سيحملون على اكتافهم الاسلحه والقناوي والشباري والسيوف والزلط الصحراوي,, للقتال مع عشائر الدواحس او الغبراوي يصولون ويجولون بلا عقل او معقول ,ومنهم من يتسلح بالمشارط على الاشارات الضوئيه, واذالم تصافح يدك يده بشئ من القروش , فسوف يصافح سيارتك بأعمق المحبه والخدوش ,وسيدخل القليل منهم الجامعه بمعدل ويتخرج بعدها للشارع لايجد عملا يؤمن له الاساسيات من سجاير وجل,ومنهم من يحاول السفر, بلا جواز سفر ,الى بلاد الاغتراب فاما ان يصل واما ان يغرق او يواري جسده التراب.	SUBJ
MIS_561-curl_02_016	"أما في شمال أفريقيا، فقد احتلت الجزائر المرتبة 146 في قائمة المنظمة التي اعتبرت أن اعتقالات الصحفيين وتخويفهم تتعاظم بتعاظم ""الحراك الاحتجاجي""، وهو حراك لم يتوقف رغم انتشار فيروس كورونا."	OBJ
AFP_376-eurl_05_015	والمنطقة التي وقع فيها الانهياران الثلجيان في منطقة جبلية عند أقصى شرق تركيا، يصعب الوصول إليها وتشهد طقسا قاسيا في الشتاء.	OBJ
AFP_376-eurl_05_019	وتنقطع بعض قرى شرق البلاد وشمال شرقه كل شتاء عن باقي العالم بسبب تساقط كثيف للثلوج.	OBJ
MIS_239-curl_04_006	وأصدرت وزارة الصحة قرارات لمواجهة الفيروس ومنع تفشيه في الضفة، وأبرزها تفعيل خطة الطوارئ في بيت لحم وأريحا بغور الأردن، وإغلاق كافة المؤسسات التعليمية ومراكز التدريب لمدة 14 يوما.	OBJ
AFP_376-eurl_05_002	وقع انهيار ثلجي بمحافظة فان شرق تركيا الأربعاء على موقع كان يتواجد فيه مدنيون وأفراد من الشرطة العسكرية ضمن جهود إنقاذ ضحايا انهيار وقع في اليوم السابق في المكان نفسه قتل فيه خمسة أشخاص.	OBJ
MIS_505-curl_02_009	"ويعد المقاتل النمساوي أحد أبرز الوجوه في رياضة الفنون القتالية المختلطة، واشتهر سنة 2019 باعتدائه على حكم نزاله ضد مواطنه ""نهاد نسوفوفيتش""."	OBJ
MIS_91-curl_03_001	"أعلنت السلطات في بكين اليوم الأحد عن التوصل لدواء فعال لمعالجة فيروس ""كورونا"" المتفشي في البلاد والذي أسفر عن مقتل 56 شخصا وأكثر من ألف إصابة."	OBJ
MIS_855-eurl_01_025	وهنا نؤكد أننا مستمرون على نهج وتوجيهات صاحب السمو الشيخ تميم بن حمد آل ثاني، التي كانت دائما تؤكد على القيم والمبادئ الإسلامية والعربية الأصيلة وعدم الانكفاء على قضايا الوطن، وإنما دعم كافة القضايا العربية والإسلامية والإنسانية العادلة.	SUBJ
MIS_701-curl_03_003	وينتقد المنشور أدناه، لشيرازي، سياسة الفصل بين الجنسين التي تتبعها الدولة في إيران، كما أن ظهور زوجته بدون حجاب يمثل تحديا للسياسة المحافظة في إيران، حيث الحجاب إلزامي.	SUBJ
MIS_536-eurl_02_012	توقيت خطير على مجتمع الميم رأى بوسلمي أن توقيت نشر هذا الخبر خطير ويترك أثراً سلبياً على مجتمع المثليين بينما يعاني الكثير منهم التعنيف والانتهاكات في ظل الحجر المنزلي، على خلفية التدابير الوقائية للحد من تفشي فيروس كورونا.	OBJ
MIS_2120-curl_04_014	وتخوض إسرائيل وإيران معارك في الخفاء منذ سنوات تضمنت هجمات قرصنة إلكترونية كبيرة.	OBJ
MIS_1696-curl_08_006	صحيح أنها تشجع حرية الرأي والتعبير عندما تتفق مع سياساتها؛ لكنها لا تتهاون ولا تقبل أي رأي ينتقص من كرامتها أو من أحد رموزها، بل تقتل وتسلح أي صاحب رأي أو صاحب كلمة يقف في طريقها أو يحاول تعرية وجهها، وما قامت به تجاه الفنانة ليلى العطار خير دليل على تشجيعها للمواهب وأصحاب الرأي، حيث قامت بقصف منزلها الكائن في بغداد حي المنصور بصاروخ أودى بحياتها مع عائلتها في 27 يونيو 1993م، ولكم أن تتخيلوا.	SUBJ
MIS_446-eurl_01_012	من المؤكد أنه يمكننا احتواء فيروس كورونا بسرعة أكبر إذا التزم كل الفرنسيين بالإجراءات التي فرضتها الحكومة خاصة ما يتعلق بإجراءات الحجر الصحي وعدم مغادرة المنزل إلا للضرورة القصوى، كما أنه سيجنب بلدنا مزيدا من الوفيات ولن يكون هناك عدد أكبر من المرضى في أقسام الإنعاش.	OBJ
FAT_1062-eurl_01_006	وحذرت هيئة الأدوية من استخدام مضادات التخثر/التجلط بدون دواعي طبية واضحة أو إشراف طبي حيث قد يؤدي ذلك إلى التعرض لمخاطر عديدة منها خطر حدوث النزيف الشديد والذي يتمثل في (وجود دم مع البول أو البراز، ظهور ما يشبه الكدمات، نزيف الأنف لفترات طويلة (يستمر لأكثر من 10 دقائق، نزيف اللثة، القيئ أو السعال المصاحب لوجود دم، ألم شديد ومفاجئ بالظهر، ضيق التنفس أو ألم بالصدر، النزيف الشديد أثناء الدورة الشهرية).	OBJ
AFP_696-eurl_03_017	"وبينما هم يطلقون علينا وعلى الأخوة الذين يساعدوننا في المشروع أوصافا مسيئة، ويتهموننا بأننا إرهابيون، نحاول نحن تقريب الإسلام للناس من خلال ما يسمى ب ""الدعوة""."	SUBJ
MIS_702-curl_03_006	ويخشى علماء ناسا من أن يكون تكرارا لـ Dalton Minimum، التي حدثت بين 1790 و1830، ما أدى إلى فترات من البرد القارس وفقدان المحاصيل والمجاعة وانفجارات بركانية قوية.	OBJ
MIS_617-eurl_04_018	ما كلنا بنتسحل كدة من زمان في الخفاء بس الشكل اللى لافت نظركم.	SUBJ
MIS_213-curl_04_005	وعقب انتهائه من تعليمه الثانوي التحق بالكلية الحربية في مصر وحصل على البكالوريوس في العلوم العسكرية عام 1948 ثم حصل على درجة البكالوريوس في العلوم الجوية عام 1950 من الكلية الجوية.	OBJ
AFP_907-eurl_03_001	قال الدكتور أحمد شوقي، عضو اللجنة العلمية لمكافحة فيروس كورونا، إن المسحة الجينية دليل مؤكد للإصابة ب فيروس كورونا، لافتا إلى أنهم ما زالوا يتعاملون مع فيروس كورونا على أنه فيروس تنفسي بالرغم من أنه أصاب الجهاز الهضمي في عدد كبير من الحالات.	OBJ
MIS_887-curl_03_004	"وأشار المحقق الخاص سيد روي إلى أنه لم يتوقع أن التحقيقات ستستمر 15 عاما وقال ""كل شيء بدأ عام 2001عندما طلب مني رجلان لا يعرفان بعضهما الكشف عن والد كل منهما البيولوجي ..."	OBJ
AFP_29-eurl_02_012	ويعتقد أن الحريق شب على ظهر السفينة المحمل بالسيارات قبل أن يمتد إلى حاوية لكن دون معرفة السبب، بحسب لوزييه.	OBJ
MIS_855-eurl_01_039	ومن جهة أخرى، فإن تلك الهجمات الإلكترونية هي حيلة الضعفاء حين لا يتمكنون من استخدام المنطق أو آداب الحوار.	SUBJ
MIS_2801-curl_01_004	وحسب بيانات الوكالة الأميركية، فإن بعض البلدان تحقق تقدماً أسرع بكثير من غيرها، باستخدام تغطية 75٪ بلقاح من جرعتين كهدف.	OBJ
MIS_213-curl_04_001	"وصفت هيئة الإذاعة البريطانية بى بى سي، الرئيس الأسبق حسنى مبارك بالقائد العسكرى الذى اختار الانحياز إلى ""السلام الدولي""، مشيرة إلى أن وفاته تكتب سطر نهاية في حياة طويلة مليئة بالمحطات التاريخية الهامة."	SUBJ
AFP_614-eurl_08_018	ومنذ الأسبوع الماضي كثفت السلطات المصرية انتشارها الأمني في القاهرة وغيرها من المدن.	OBJ
AFP_884-eurl_01_003	أول صلاة جمعة في زمن كورونا.	OBJ
